City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
196,Kumylzhenskaya,RU,2020-04-19 20:00:25,49.88,42.59,37.99,53,14,4.79,few clouds,0.0,0.0
197,Viedma,AR,2020-04-19 20:00:26,-40.81,-63.0,66.83,32,46,4.99,scattered clouds,0.0,0.0
198,Lubango,AO,2020-04-19 20:00:26,-14.92,13.49,59.56,56,12,4.07,light rain,0.42,0.0
199,Hasaki,JP,2020-04-19 20:00:26,35.73,140.83,48.2,87,75,12.75,light rain,0.0,0.0
200,Changuinola,PA,2020-04-19 20:00:26,9.43,-82.52,87.01,72,25,7.74,scattered clouds,0.0,0.0
201,Belaya Gora,RU,2020-04-19 20:00:26,68.53,146.42,3.96,89,85,8.93,overcast clouds,0.0,0.0
202,Gualeguaychu,AR,2020-04-19 19:56:06,-33.01,-58.52,84.0,39,0,5.84,clear sky,0.0,0.0
203,Khilok,RU,2020-04-19 20:00:27,51.37,110.47,16.23,77,84,5.55,broken clouds,0.0,0.0
204,Victor Harbor,AU,2020-04-19 20:00:27,-35.57,138.62,64.0,91,100,4.0,light rain,0.27,0.0
205,Shubarkuduk,KZ,2020-04-19 20:00:27,49.14,56.49,54.79,77,100,17.38,light rain,0.37,0.0
206,Tanout,NE,2020-04-19 20:00:27,14.97,8.89,82.06,12,2,4.59,clear sky,0.0,0.0
207,Parkes,AU,2020-04-19 20:00:28,-33.13,148.18,54.0,68,100,5.1,overcast clouds,0.0,0.0
208,Tessalit,ML,2020-04-19 20:00:28,20.2,1.01,86.04,22,1,12.86,clear sky,0.0,0.0
209,East London,ZA,2020-04-19 20:00:28,-33.02,27.91,75.69,58,0,12.35,clear sky,0.0,0.0
210,Porbandar,IN,2020-04-19 20:00:28,21.64,69.61,79.29,74,8,9.22,clear sky,0.0,0.0
211,Lompoc,US,2020-04-19 20:00:00,34.64,-120.46,62.6,63,90,11.41,overcast clouds,0.0,0.0
212,Fochville,ZA,2020-04-19 20:00:28,-26.49,27.49,61.93,29,0,3.53,clear sky,0.0,0.0
213,Berdsk,RU,2020-04-19 20:00:29,54.76,83.1,37.4,69,99,2.24,smoke,0.0,0.0
214,Nuuk,GL,2020-04-19 20:00:29,64.18,-51.72,33.8,55,72,38.03,mist,0.0,0.0
215,Mandalgovi,MN,2020-04-19 19:56:15,45.76,106.27,20.98,56,0,9.6,clear sky,0.0,0.0
