City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Pascagoula,US,2020-04-19 17:00:17,30.37,-88.56,81.0,83,75,9.17
229,Rio Grande,BR,2020-04-19 17:00:07,-32.03,-52.1,78.8,61,20,17.22
230,Havre-Saint-Pierre,CA,2020-04-19 17:00:18,50.23,-63.6,33.8,69,1,16.11
231,Port Blair,IN,2020-04-19 17:00:18,11.67,92.75,83.88,76,5,8.19
232,Sederot,IL,2020-04-19 17:00:18,31.52,34.6,73.99,30,3,15.26
233,Khowai,IN,2020-04-19 17:00:19,24.1,91.63,75.58,81,56,3.33
234,San Matias,BO,2020-04-19 17:00:19,-16.37,-58.4,86.29,58,67,4.43
235,Camana,PE,2020-04-19 17:00:19,-16.62,-72.71,75.24,59,10,8.5
236,Airai,TL,2020-04-19 17:00:19,-8.93,125.41,60.22,61,15,2.1
237,Luwuk,ID,2020-04-19 17:00:19,-0.95,122.79,80.76,71,10,2.98
238,Victoria Falls,ZW,2020-04-19 17:00:20,-17.92,25.84,69.89,42,2,2.08
239,Siyabuswa,ZA,2020-04-19 17:00:20,-25.11,29.04,72.16,38,54,12.1
240,Amloh,IN,2020-04-19 17:00:20,30.61,76.23,77.27,34,45,6.73
241,Atar,MR,2020-04-19 17:00:20,20.52,-13.05,88.07,11,0,14.12
242,Chaman,PK,2020-04-19 17:00:20,30.92,66.45,61.25,38,67,3.27
243,Avera,US,2020-04-19 17:00:21,33.19,-82.53,50.0,92,90,4.7
244,Bluefields,NI,2020-04-19 16:59:46,12.01,-83.76,86.0,70,40,4.7
245,Bambous Virieux,MU,2020-04-19 17:00:21,-20.34,57.76,77.0,73,40,12.75
246,Zhengjiatun,CN,2020-04-19 17:00:21,43.51,123.51,51.42,67,98,23.38
247,Salalah,OM,2020-04-19 17:00:21,17.02,54.09,84.2,66,40,6.93
248,Mandalgovi,MN,2020-04-19 17:00:21,45.76,106.27,22.87,51,0,12.03
249,Jiuquan,CN,2020-04-19 17:00:22,39.74,98.52,43.84,25,84,9.64
250,Luderitz,NA,2020-04-19 17:00:22,-26.65,15.16,69.8,64,0,10.29
251,Nemuro,JP,2020-04-19 17:00:22,43.32,145.57,38.17,81,12,9.31
252,Brae,GB,2020-04-19 17:00:22,60.4,-1.35,53.6,54,0,10.29
253,Malinovoye Ozero,RU,2020-04-19 17:00:22,51.68,79.78,55.04,39,64,5.21
254,Marrakesh,MA,2020-04-19 17:00:22,31.63,-8.01,75.2,38,75,5.82
255,Richards Bay,ZA,2020-04-19 17:00:23,-28.78,32.04,71.04,80,0,12.21
256,Morant Bay,JM,2020-04-19 17:00:23,17.88,-76.41,87.01,66,20,18.34
257,Karratha,AU,2020-04-19 17:00:23,-20.74,116.85,84.04,55,99,3.22
258,Norman Wells,CA,2020-04-19 17:00:23,65.28,-126.83,24.8,85,75,17.22
259,Grants,US,2020-04-19 17:00:24,35.15,-107.85,55.4,35,75,14.99
260,Panzhihua,CN,2020-04-19 17:00:24,26.59,101.71,65.32,30,0,2.24
261,Xichang,CN,2020-04-19 17:00:24,27.9,102.26,59.29,42,21,1.41
262,Port Lincoln,AU,2020-04-19 17:00:24,-34.73,135.87,63.25,74,100,21.52
263,Batticaloa,LK,2020-04-19 17:00:24,7.71,81.69,81.99,79,76,5.37
264,Portland,US,2020-04-19 16:56:00,45.52,-122.68,55.0,71,75,6.93
265,Tual,ID,2020-04-19 17:00:25,-5.67,132.75,83.89,71,79,4.45
266,Ouadda,CF,2020-04-19 17:00:25,8.08,22.4,79.02,41,66,3.6
267,Belmonte,BR,2020-04-19 16:59:44,-15.86,-38.88,77.0,88,75,8.05
268,Berlevag,NO,2020-04-19 17:00:25,70.86,29.09,39.2,86,75,11.41
269,Planadas,CO,2020-04-19 17:00:25,3.2,-75.65,89.6,43,40,10.29
270,Kralendijk,BQ,2020-04-19 17:00:26,12.15,-68.27,87.8,58,20,18.34
271,Ourossogui,SN,2020-04-19 17:00:26,15.61,-13.32,105.8,13,0,4.7
272,Gubkinskiy,RU,2020-04-19 17:00:26,64.43,76.5,37.33,96,100,11.18
273,Kutum,SD,2020-04-19 17:00:26,14.2,24.67,77.22,11,36,12.82
274,Chesley,CA,2020-04-19 17:00:26,44.3,-81.1,40.57,84,99,15.37
275,Vardo,NO,2020-04-19 17:00:27,70.37,31.11,37.4,74,75,10.29
276,Zhezkazgan,KZ,2020-04-19 17:00:27,47.8,67.71,62.6,26,77,6.82
277,Bow Island,CA,2020-04-19 17:00:27,49.87,-111.37,52.27,31,0,12.35
278,Lasem,ID,2020-04-19 17:00:27,-6.69,111.45,81.79,75,86,0.85
279,Liku,ID,2020-04-19 17:00:28,-0.73,119.89,76.01,81,83,2.73
280,Manadhoo,MV,2020-04-19 17:00:28,5.77,73.38,86.38,72,21,9.22
281,Alice Springs,AU,2020-04-19 16:56:05,-23.7,133.88,80.6,26,4,13.87
282,Aklavik,CA,2020-04-19 17:00:29,68.22,-135.01,15.8,47,40,4.7
283,Shache,CN,2020-04-19 17:00:29,38.42,77.24,58.44,41,88,7.54
284,Naliya,IN,2020-04-19 17:00:29,23.27,68.83,79.72,81,57,11.97
285,Judayta,JO,2020-04-19 17:00:30,32.41,35.71,77.0,31,18,5.82
286,Baghdad,IQ,2020-04-19 16:58:03,33.34,44.4,82.4,30,6,6.93
287,Khatanga,RU,2020-04-19 16:55:49,71.97,102.5,17.4,94,38,4.81
288,Bjornevatn,NO,2020-04-19 17:00:30,69.67,29.98,37.4,74,75,9.17
289,Katobu,ID,2020-04-19 17:00:30,-4.94,122.53,75.4,85,93,1.83
290,Novikovo,RU,2020-04-19 17:00:30,51.15,37.89,42.91,62,94,4.09
291,Hithadhoo,MV,2020-04-19 17:00:30,-0.6,73.08,85.21,74,36,11.39
292,Werda,BW,2020-04-19 17:00:31,-25.27,23.28,77.11,21,8,3.4
293,Kolyvan,RU,2020-04-19 17:00:31,55.31,82.74,46.4,42,99,1.19
294,Saint-Leu,RE,2020-04-19 17:00:31,-21.15,55.28,77.0,78,20,21.92
295,Manoel Urbano,BR,2020-04-19 17:00:31,-8.84,-69.26,90.45,38,53,2.59
296,Polewali,ID,2020-04-19 17:00:31,-3.43,119.34,75.88,82,73,3.58
297,Kaitangata,NZ,2020-04-19 17:00:31,-46.28,169.85,51.01,53,74,14.0
298,Ulaanbaatar,MN,2020-04-19 17:00:32,47.91,106.88,17.6,52,4,4.47
299,Baykit,RU,2020-04-19 17:00:32,61.67,96.37,22.87,91,0,2.19
